friendly	mangled	vtable_rva	subobj_off	col_rva	td_rva	vt0_func_rva
AccessibilityOptions	.?AVAccessibilityOptions@@	0x62657C0	0	0x6EFF6D0	0x8AFABD0	0x32223B0
AccessibilityPresets	.?AVAccessibilityPresets@@	0x63AA750	0	0x6FE4918	0x8B989F8	0x385C150
AccoladeCategoriesScene	.?AVAccoladeCategoriesScene@@	0x62496D0	0	0x6EED2D0	0x8AEF838	0x3135920
AccoladeItemsScene	.?AVAccoladeItemsScene@@	0x631C580	0	0x6F86000	0x8B493D8	0x35BBF60
AdjustTimeLimitSettings	.?AVAdjustTimeLimitSettings@@	0x62D1A70	0	0x6F4D900	0x8B27998	0x341F040
AdvancedAuctionSearchPopup	.?AVAdvancedAuctionSearchPopup@@	0x6348418	0	0x6FA2DF0	0x8B5A4F0	0x3670420
AdvancedControllerOptions	.?AVAdvancedControllerOptions@@	0x6402D60	0	0x70278A0	0x8BC41E8	0x3A8C7E0
AnyButtonPressedPopup	.?AVAnyButtonPressedPopup@@	0x62C5808	0	0x6F48500	0x8B244A8	0x33F8970
ARActivation	.?AVARActivation@@	0x6351070	0	0x6FA7198	0x8B5B720	0x368F830
ARBillboard	.?AVARBillboard@@	0x6365830	0	0x6FABD00	0x8B5E970	0x36BCE40
ARCheckpoint	.?AVARCheckpoint@@	0x6366188	0	0x6FABFC8	0x8B5E998	0x36BCE90
ARFlagRush	.?AVARFlagRush@@	0x6366AE0	0	0x6FAC298	0x8B5E9C0	0x36BCEE0
ARRaceEncounterActivation	.?AVARRaceEncounterActivation@@	0x62E7A60	0	0x6F60D28	0x8B34498	0x34ADAD0
AssistOptions	.?AVAssistOptions@@	0x63346A0	0	0x6F94270	0x8B50EA0	0x362FBD0
AuctionHouseMenuTiled	.?AVAuctionHouseMenuTiled@@	0x62FCCC0	0	0x6F6FCF8	0x8B3DC10	0x351D620
AuctionHouseViewCar	.?AVAuctionHouseViewCar@@	0x6335F78	0	0x6F94578	0x8B50EC8	0x362FC90
AuctionListings	.?AVAuctionListings@@	0x627B318	0	0x6F10B78	0x8B05D80	0x3296D90
AuctionOptionsPopup	.?AVAuctionOptionsPopup@@	0x6367438	0	0x6FAB0F0	0x8B5E8B8	0x36BCF30
AuctionSearchPopup	.?AVAuctionSearchPopup@@	0x6347A88	0	0x6FA2B08	0x8B5A4C0	0x36704B0
AuctionStartPopup	.?AVAuctionStartPopup@@	0x63D62C0	0	0x700A1B0	0x8BB1150	0x3991440
AudioOptions	.?AVAudioOptions@@	0x6266558	0	0x6EFFB70	0x8AFAC60	0x3222440
AutoUpgrade	.?AVAutoUpgrade@@	0x641DAB0	0	0x7032E60	0x8BCB048	0x3AD8900
AutovistaUIScene	.?AVAutovistaUIScene@@	0x6444290	0	0x7054768	0x8BDFEB8	0x3C0E380
BarnFindBlueprintPopupRoot	.?AVBarnFindBlueprintPopupRoot@@	0x6308870	0	0x6F79590	0x8B41A38	0x35563A0
BarnFindBlueprintReceiverSummaryRoot	.?AVBarnFindBlueprintReceiverSummaryRoot@@	0x6309E30	0	0x6F77988	0x8B41818	0x35564D0
BaseCampaignMenu	.?AVBaseCampaignMenu@@	0x63F03E8	0	0x701D808	0x8BBC038	0x3A2DC50
BaseCampaignSetupRoot	.?AVBaseCampaignSetupRoot@@	0x63AB190	0	0x6FE76E8	0x8B98A50	0x385C400
BaseLeaderboard	.?AVBaseLeaderboard@@	0x62673F0	0	0x6F02AB8	0x8AFACB8	0x32225A0
BaseLoadingScreen	.?AVBaseLoadingScreen@@	0x627BD40	0	0x6F13318	0x8B05F00	0x3296E00
BaseOptions	.?AVBaseOptions@@	0x63CA570	0	0x7001C68	0x8AFAC00	0x3947C70
BCDEndScreen	.?AVBCDEndScreen@@	0x62E83B8	0	0x6F5F2D0	0x8B342D0	0x34ADB20
BenchmarkResults	.?AVBenchmarkResults@@	0x63177F0	0	0x6F80AA0	0x8B45CF8	0x3583340
BlueprintSearchPopup	.?AVBlueprintSearchPopup@@	0x62F2478	0	0x6F6BC20	0x8B3AB50	0x34EB960
BucketListBlueprintCarousel	.?AVBucketListBlueprintCarousel@@	0x63CB700	0	0x6FFEF18	0x8BABAB0	0x3947CF0
BucketlistBlueprintMap	.?AVBucketlistBlueprintMap@@	0x6421A90	0	0x703C2D8	0x8BD0C90	0x3B27440
BucketListBlueprintMusicSelect	.?AVBucketListBlueprintMusicSelect@@	0x63C9AF8	0	0x6FFF1F0	0x8BABAE8	0x3947D90
BucketListBlueprintShareOptions	.?AVBucketListBlueprintShareOptions@@	0x63EF1B0	0	0x7019EE0	0x8BBBFA8	0x3A2DCA0
BucketListBlueprintSkillSelect	.?AVBucketListBlueprintSkillSelect@@	0x6296E20	0	0x6F22FD8	0x8B0FED0	0x331DA50
BucketListBlueprintTypeSelect	.?AVBucketListBlueprintTypeSelect@@	0x62F2DF8	0	0x6F69C68	0x8B3A8E8	0x34EBA30
BucketListBrowser	.?AVBucketListBrowser@@	0x63CC0D0	0	0x6FFF4C0	0x8BABB20	0x3947DE0
BucketListChallengeCreationHud	.?AVBucketListChallengeCreationHud@@	0x6403908	0	0x7027BA8	0x8BC4218	0x3A8C8D0
BucketListFinishResult	.?AVBucketListFinishResult@@	0x63CE6E0	0	0x6FFF798	0x8BABB48	0x3947F50
BucketListLeaderboard	.?AVBucketListLeaderboard@@	0x6267D80	0	0x6EFFE78	0x8AFAC88	0x32225F0
BucketListSettings	.?AVBucketListSettings@@	0x62D2428	0	0x6F4CF50	0x8B278E0	0x341F140
BucketListSuper7	.?AVBucketListSuper7@@	0x63CCA80	0	0x6FFFA68	0x8BABB78	0x3947FA0
BucketListSuper7HighStakes	.?AVBucketListSuper7HighStakes@@	0x63CD488	0	0x6FFFD48	0x8BABBA0	0x3948010
BucketListWaitForFinish	.?AVBucketListWaitForFinish@@	0x632F3F8	0	0x6F8FA68	0x8B4EBA0	0x35F5500
CameraTest	.?AVCameraTest@@	0x63368F8	0	0x6F972D8	0x8B511C0	0x362FDB0
CampaignBlueprintSelectEventSignUp	.?AVCampaignBlueprintSelectEventSignUp@@	0x62DD158	0	0x6F56838	0x8B2D650	0x34613C0
CampaignBlueprintSelectImport	.?AVCampaignBlueprintSelectImport@@	0x62DF838	0	0x6F574D8	0x8B2D770	0x3461410
CampaignBlueprintSelectMyEvents	.?AVCampaignBlueprintSelectMyEvents@@	0x62DEE80	0	0x6F571F8	0x8B2D738	0x3461460
CampaignBlueprintSelectPauseMenu	.?AVCampaignBlueprintSelectPauseMenu@@	0x62DDB10	0	0x6F56C38	0x8B2D6C8	0x34614B0
CampaignBlueprintSelectShowroom	.?AVCampaignBlueprintSelectShowroom@@	0x62DE4C8	0	0x6F56F18	0x8B2D700	0x3461500
CampaignEventSelect	.?AVCampaignEventSelect@@	0x631D3B8	0	0x6F865E0	0x8B49430	0x35BBFB0
CampaignProgressFestivalSelectScene	.?AVCampaignProgressFestivalSelectScene@@	0x6351A18	0	0x6FA5B18	0x8B5B5A0	0x368F880
CampaignProgressUpgradeSelectScene	.?AVCampaignProgressUpgradeSelectScene@@	0x62E1D00	0	0x6F577B8	0x8B2D7A8	0x34616C0
CampaignRouteSelect	.?AVCampaignRouteSelect@@	0x63A0680	0	0x6FDD468	0x8B944E8	0x381F350
CampaignRouteSettings	.?AVCampaignRouteSettings@@	0x6438EA0	0	0x704E1C8	0x8BDB050	0x3BCF780
CampaignSetupRoot	.?AVCampaignSetupRoot@@	0x63ABC00	0	0x6FE4BF8	0x8B98A28	0x385C4C0
CampaignSlotMenu	.?AVCampaignSlotMenu@@	0x63F1718	0	0x701A1B8	0x8BBBFE0	0x3A2DD10
CapturingInputPopup	.?AVCapturingInputPopup@@	0x63B18A0	0	0x6FE6148	0x8B98B80	0x385C590
CarClassRestrictionsSelect	.?AVCarClassRestrictionsSelect@@	0x63000E0	0	0x6F70030	0x8B3DC40	0x351D670
CarCollection	.?AVCarCollection@@	0x631EE90	0	0x6F868B0	0x8B49460	0x35BC0F0
CarColorListAdvancedPopup	.?AVCarColorListAdvancedPopup@@	0x63D7048	0	0x700A490	0x8BB1178	0x3991520
CarColorSelect	.?AVCarColorSelect@@	0x6422468	0	0x703C5C0	0x8BD0CC0	0x3B27500
CareerChallenges	.?AVCareerChallenges@@	0x631E3E0	0	0x6F86300	0x8B49408	0x35BC140
CarHistory	.?AVCarHistory@@	0x62FDA78	0	0x6F72120	0x8B3DEF8	0x351D710
CarHornSelect	.?AVCarHornSelect@@	0x630AD30	0	0x6F77C60	0x8B41858	0x35566A0
CarRestrictionsSelect	.?AVCarRestrictionsSelect@@	0x62FF740	0	0x6F70428	0x8B3DCA8	0x351DB80
CarSelectBarnFinds	.?AVCarSelectBarnFinds@@	0x6337250	0	0x6F94858	0x8B50EF8	0x362FE50
CarSelectBlueprintAdvanced	.?AVCarSelectBlueprintAdvanced@@	0x6384550	0	0x6FC9288	0x8B86640	0x3770C10
CarSelectBlueprintView	.?AVCarSelectBlueprintView@@	0x6384F28	0	0x6FC9568	0x8B86678	0x3770CC0
CarSelectBuy	.?AVCarSelectBuy@@	0x6284188	0	0x6F15E00	0x8B08158	0x32C1060
CarSelectBuyFestivalUpgrade	.?AVCarSelectBuyFestivalUpgrade@@	0x63AC6B8	0	0x6FE5000	0x8B98A80	0x385C5E0
CarSelectBuyHorizonRecommends	.?AVCarSelectBuyHorizonRecommends@@	0x63A10B8	0	0x6FDD750	0x8B94518	0x381F3F0
CarSelectBuyPresets	.?AVCarSelectBuyPresets@@	0x6286D50	0	0x6F160D8	0x8B08180	0x32C10B0
CarSelectCareerBuy	.?AVCarSelectCareerBuy@@	0x63A1A88	0	0x6FDDA30	0x8B94550	0x381F440
CarSelectCareerGarage	.?AVCarSelectCareerGarage@@	0x6439828	0	0x704CBE0	0x8B08270	0x3BCF850
CarSelectCarPass	.?AVCarSelectCarPass@@	0x63858E8	0	0x6FC9848	0x8B866A8	0x3770D30
CarSelectConfirmE3	.?AVCarSelectConfirmE3@@	0x62F3798	0	0x6F69F48	0x8B3A920	0x34EBA80
CarSelectDestinationBuy	.?AVCarSelectDestinationBuy@@	0x6284B58	0	0x6F16980	0x8B08208	0x32C1100
CarSelectDestinationGarage	.?AVCarSelectDestinationGarage@@	0x62859B0	0	0x6F16C60	0x8B08238	0x32C1150
CarSelectDiscover	.?AVCarSelectDiscover@@	0x6286380	0	0x6F17060	0x8B082A0	0x32C11A0
CarSelectGarage	.?AVCarSelectGarage@@	0x63E4C48	0	0x7012510	0x8BB6B60	0x39D8490
CarSelectGarageGift	.?AVCarSelectGarageGift@@	0x63AD088	0	0x6FE52E0	0x8B98AB8	0x385C630
CarSelectGarageHorizonRecommends	.?AVCarSelectGarageHorizonRecommends@@	0x6287720	0	0x6F17340	0x8B082C8	0x32C11F0
CarSelectIEBuy	.?AVCarSelectIEBuy@@	0x63862A8	0	0x6FC9B28	0x8B866D0	0x3770D80
CarSelectInfoLabel	.?AVCarSelectInfoLabel@@	0x63523A0	0	0x6FA7468	0x8B5B748	0x368F940
CarSelectLiveryAllCars	.?AVCarSelectLiveryAllCars@@	0x63D8EC0	0	0x70088F0	0x8BB0F78	0x3991610
CarSelectLiveryBase	.?AVCarSelectLiveryBase@@	0x63D7B40	0	0x700B840	0x8BB0FA8	0x3991660
CarSelectLiveryGarage	.?AVCarSelectLiveryGarage@@	0x63D8500	0	0x7008CF0	0x8BB0FD8	0x39916B0
CarSelectLobby	.?AVCarSelectLobby@@	0x6404338	0	0x702ABD8	0x8B3DD00	0x3A8CA10
CarSelectLoyaltyRewards	.?AVCarSelectLoyaltyRewards@@	0x6338120	0	0x6F94B38	0x8B50F28	0x362FF20
CarSelectOnlineEliminatorGarage	.?AVCarSelectOnlineEliminatorGarage@@	0x6406A78	0	0x7028160	0x8BC4280	0x3A8CAB0
CarSelectOnlineFreeRoam	.?AVCarSelectOnlineFreeRoam@@	0x6404D08	0	0x7027E78	0x8BC4250	0x3A8CBB0
CarSelectPhotoCollection	.?AVCarSelectPhotoCollection@@	0x627C7B0	0	0x6F10E50	0x8B05DA8	0x3296EE0
CarSelectPrivateRoadTripLeader	.?AVCarSelectPrivateRoadTripLeader@@	0x64060A8	0	0x7028440	0x8BC42B8	0x3A8CC50
CarSelectRivals	.?AVCarSelectRivals@@	0x6300C40	0	0x6F70708	0x8B3DCD8	0x351DC20
CarSelectRoadTrip	.?AVCarSelectRoadTrip@@	0x64056D8	0	0x7028858	0x8BC42F0	0x3A8CCA0
CarSelectTrending	.?AVCarSelectTrending@@	0x62880F0	0	0x6F166A0	0x8B081E0	0x32C1240
CarSetupSceneBase	.?AVCarSetupSceneBase@@	0x62E8D10	0	0x6F64620	0x8B35DF0	0x34ADC10
CarView	.?AVCarView@@	0x6318E88	0	0x6F80D68	0x8B45D20	0x3583440
CarViewBase	.?AVCarViewBase@@	0x6318530	0	0x6F82A20	0x8B45D40	0x3583490
CarViewNoBack	.?AVCarViewNoBack@@	0x631A140	0	0x6F81448	0x8B45D90	0x35834E0
CarViewPauseMenu	.?AVCarViewPauseMenu@@	0x63197E8	0	0x6F81168	0x8B45D68	0x3583530
ChallengeCardSearchPopup	.?AVChallengeCardSearchPopup@@	0x62F4108	0	0x6F6BF00	0x8B3AB80	0x34EBAF0
ChallengeCardSlotMenu	.?AVChallengeCardSlotMenu@@	0x63F6110	0	0x701A6D8	0x8BBC060	0x3A2DE40
ChampionshipStandingsBase	.?AVChampionshipStandingsBase@@	0x6407560	0	0x702AD90	0x8BBC1F8	0x3A8CCF0
CharacterCustomisation	.?AVCharacterCustomisation@@	0x63C5AB8	0	0x6FFA348	0x8BA82C0	0x38FE610
ChatLog	.?AVChatLog@@	0x63A2498	0	0x6FDDD18	0x8B94580	0x381F490
CinematicsTest	.?AVCinematicsTest@@	0x63D98B8	0	0x700AD68	0x8BB1200	0x3991700
CinematicUIVideoPanel	.?AVCinematicUIVideoPanel@@	0x6367DD8	0	0x6FAC568	0x8B5E9E8	0x36BD450
ClubLevelLeaderboard	.?AVClubLevelLeaderboard@@	0x6288D98	0	0x6F17620	0x8B08300	0x32C13A0
ClubsMenu	.?AVClubsMenu@@	0x63ADAA0	0	0x6FE55B8	0x8B98AE8	0x385C720
CommunityUpdateSellSheet	.?AVCommunityUpdateSellSheet@@	0x624AA78	0	0x6EEEE60	0x8AEF8E8	0x3135DB0
ContentHighlightSheet	.?AVContentHighlightSheet@@	0x6320420	0	0x6F86BD8	0x8B49488	0x35BC190
ControllerPairing	.?AVControllerPairing@@	0x63750F8	0	0x6FB6DA0	0x8B65630	0x36F2A20
ControllerTest	.?AVControllerTest@@	0x6321080	0	0x6F88CA0	0x8B49690	0x35BC1E0
CopterAnyButtonPressedPopup	.?AVCopterAnyButtonPressedPopup@@	0x62C6168	0	0x6F487D0	0x8B244D8	0x33F8A10
CopterHud	.?AVCopterHud@@	0x6407F18	0	0x7028A10	0x8BC4318	0x3A8CD80
CUpgradeWizardSearch	.?AVCUpgradeWizardSearch@@	0x641D158	0	0x7033850	0x8BCB070	0x3AD8A60
CustomAdventureSettings	.?AVCustomAdventureSettings@@	0x6339540	0	0x6F99168	0x8B50FB0	0x362FFF0
DangerSignLeaderboard	.?AVDangerSignLeaderboard@@	0x6268730	0	0x6F00278	0x8AFACE0	0x32226F0
DestinationMenu	.?AVDestinationMenu@@	0x642F750	0	0x7043FE8	0x8BD6640	0x3B82BA0
DigitalGauge	.?AVDigitalGauge@@	0x63AF2E8	0	0x6FE69F0	0x8B98C08	0x385C770
DriftZoneLeaderboard	.?AVDriftZoneLeaderboard@@	0x643A308	0	0x704CD98	0x8BDAEF0	0x3BCF960
EliminatorAnnouncement	.?AVEliminatorAnnouncement@@	0x6291888	0	0x6F20310	0x8B0E870	0x32F74C0
EmptySceneWithContinue	.?AVEmptySceneWithContinue@@	0x62E9690	0	0x6F5F868	0x8B34328	0x34ADC60
EmptySceneWithSpinner	.?AVEmptySceneWithSpinner@@	0x62922D8	0	0x6F206F0	0x8B0E8D0	0x32F75F0
EventAdditionalInfo	.?AVEventAdditionalInfo@@	0x62690E8	0	0x6F00558	0x8AFAD10	0x3222810
EventLabMenuTiled	.?AVEventLabMenuTiled@@	0x6338B30	0	0x6F94E18	0x8B50F58	0x3630040
ExpansionInstallOptions	.?AVExpansionInstallOptions@@	0x62C6AC8	0	0x6F46A78	0x8B24290	0x33F8A60
ExpansionUpsell	.?AVExpansionUpsell@@	0x62F5418	0	0x6F6A220	0x8B3A950	0x34EBBF0
ExpeditionsLeaderboard	.?AVExpeditionsLeaderboard@@	0x6269A70	0	0x6F00830	0x8AFAD40	0x32228F0
FestivalPassScene	.?AVFestivalPassScene@@	0x63871E0	0	0x6FC9E10	0x8B866F8	0x3771040
FestivalSeriesHistory	.?AVFestivalSeriesHistory@@	0x6297D30	0	0x6F232B0	0x8B0FF08	0x331DD20
FestivalSiteUpgrade	.?AVFestivalSiteUpgrade@@	0x62E9FE8	0	0x6F60FF8	0x8B344C8	0x34ADD00
FestivalUnlockedTitle	.?AVFestivalUnlockedTitle@@	0x62EB298	0	0x6F5FB38	0x8B34358	0x34ADD50
FlairSelection	.?AVFlairSelection@@	0x6298A60	0	0x6F24F20	0x8B100C0	0x331DD70
FMVLoading	.?AVFMVLoading@@	0x6430428	0	0x70442F8	0x8BD6668	0x3B82C50
FollowedPlayers	.?AVFollowedPlayers@@	0x62899A8	0	0x6F178F8	0x8B08330	0x32C1540
ForcedReboot	.?AVForcedReboot@@	0x62A9E00	0	0x6F301E0	0x8B16218	0x3353840
ForzaEventsOverview	.?AVForzaEventsOverview@@	0x62995B8	0	0x6F23580	0x8B0FF38	0x331DE10
ForzaEventsShop	.?AVForzaEventsShop@@	0x625FBE0	0	0x6EFA3B8	0x8AF7EF8	0x319B8A0
ForzaScene	.?AVForzaScene@@	0x634FD20	0	0x6FA7738	0x8AEF898	0x368FA40
ForzaSceneWithBack	.?AVForzaSceneWithBack@@	0x6350718	0	0x6FA7978	0x8AEF868	0x368FA90
GenericMenu	.?AVGenericMenu@@	0x62D3020	0	0x6F4FC00	0x8B280F8	0x341F240
GiftSummaryReceiver	.?AVGiftSummaryReceiver@@	0x63094C0	0	0x6F79860	0x8B41A70	0x35567D0
GiftSummarySender	.?AVGiftSummarySender@@	0x6307EF8	0	0x6F79C78	0x8B41AC8	0x3556860
HallOfFameBannerScene	.?AVHallOfFameBannerScene@@	0x644B1E8	0	0x705B038	0x8BE4398	0x3C3DE30
HallOfFameLeaderboard	.?AVHallOfFameLeaderboard@@	0x626A418	0	0x6F00B08	0x8AFAD70	0x32229F0
HorizonStoriesChapterSelect	.?AVHorizonStoriesChapterSelect@@	0x62F5E28	0	0x6F6A618	0x8B3A9A0	0x34EBC50
HorizonStoriesSlotMenu	.?AVHorizonStoriesSlotMenu@@	0x63F84F8	0	0x701B098	0x8BBC138	0x3A2DF20
HorizonStoriesSlotMenuBase	.?AVHorizonStoriesSlotMenuBase@@	0x63F6D28	0	0x701F1D0	0x8BBC100	0x3A2DF70
HorizonStoriesSoloCoopSlotMenu	.?AVHorizonStoriesSoloCoopSlotMenu@@	0x63F9598	0	0x701ACA0	0x8BBC0C8	0x3A2E060
HorizonStoryLockedPopup	.?AVHorizonStoryLockedPopup@@	0x626ADA8	0	0x6F00DE8	0x8AFADA0	0x3222AF0
HorizonTourFlyerView	.?AVHorizonTourFlyerView@@	0x63306B8	0	0x6F8FD38	0x8B4EBD0	0x35F57D0
Hud	.?AVHud@@	0x6321AF8	0	0x6F86EB0	0x8B494B8	0x35BC330
HudOptions	.?AVHudOptions@@	0x63B0048	0	0x6FE5898	0x8B98B08	0x385C910
InGameAnnouncement	.?AVInGameAnnouncement@@	0x62E2708	0	0x6F57AC0	0x8B0E8A0	0x3461930
InitialDriveSeasonTransition	.?AVInitialDriveSeasonTransition@@	0x62EBBF8	0	0x6F5FE10	0x8B34388	0x34ADDC0
InitialDriveSeasonTransitionFMV	.?AVInitialDriveSeasonTransitionFMV@@	0x63883F0	0	0x6FCA0E0	0x8B86720	0x3771230
InputOptions	.?AVInputOptions@@	0x63B0E38	0	0x6FE5BA8	0x8B98B30	0x385C9D0
InstallHoGPopup	.?AVInstallHoGPopup@@	0x62EC550	0	0x6F600E0	0x8B343C0	0x34ADE10
InWorldCarSelect	.?AVInWorldCarSelect@@	0x6409720	0	0x7028CE0	0x8BC4338	0x3A8D170
LanguageSelect	.?AVLanguageSelect@@	0x62AA768	0	0x6F304A8	0x8B16240	0x3354000
LayerGridIconPopup	.?AVLayerGridIconPopup@@	0x62C4E90	0	0x6F49040	0x8B24568	0x33F8F30
LicensePlateCustomisation	.?AVLicensePlateCustomisation@@	0x6445C80	0	0x7054A40	0x8BDFEE0	0x3C0EC40
LimitedHud	.?AVLimitedHud@@	0x6322558	0	0x6F8A170	0x8B49508	0x35BC430
LimitedHudANNAIntro	.?AVLimitedHudANNAIntro@@	0x6323818	0	0x6F87178	0x8B494D8	0x35BC480
LimitedHUDE3Video	.?AVLimitedHUDE3Video@@	0x6324AC8	0	0x6F8A328	0x8B4A000	0x35BC3E0
LimitedHudMinorNotification	.?AVLimitedHudMinorNotification@@	0x6322EC0	0	0x6F87560	0x8B49530	0x35BC4D0
LimitedPressButtonPrompt	.?AVLimitedPressButtonPrompt@@	0x6324170	0	0x6F87830	0x8B49568	0x35BC520
LiveryBackground	.?AVLiveryBackground@@	0x639FC40	0	0x6FDE2C8	0x8B945D8	0x381F730
LiveryColorSelect	.?AVLiveryColorSelect@@	0x6415950	0	0x7033258	0x8BCB0A0	0x3AD8AB0
LiveryLayerPosition	.?AVLiveryLayerPosition@@	0x63DA6B0	0	0x7008FD0	0x8BB1008	0x3991910
LiveryLayerSelect	.?AVLiveryLayerSelect@@	0x63B62A0	0	0x6FED538	0x8B9D958	0x38B0B30
LiveryModeSelect	.?AVLiveryModeSelect@@	0x63B8530	0	0x6FED818	0x8B9D980	0x38B0B80
LiveryPaintSelect	.?AVLiveryPaintSelect@@	0x63B9D50	0	0x6FEDAF8	0x8B9D9A8	0x38B0DA0
LiverySaveOnExit	.?AVLiverySaveOnExit@@	0x6422E08	0	0x703DB38	0x8B94628	0x3B275F0
LiveryVinylSelect	.?AVLiveryVinylSelect@@	0x63A47D0	0	0x6FDE598	0x8B94600	0x381F9F0
Loading	.?AVLoading@@	0x6444E98	0	0x7054D10	0x8BDFF10	0x3C0ED10
MapEliminator	.?AVMapEliminator@@	0x64238B0	0	0x703C890	0x8BD0CE8	0x3B27670
MapScene	.?AVMapScene@@	0x6424280	0	0x703CB70	0x8BD0D10	0x3B276C0
MapSceneBase	.?AVMapSceneBase@@	0x6421110	0	0x703D980	0x8B28150	0x3B27710
MapSceneInteractive	.?AVMapSceneInteractive@@	0x62D39B8	0	0x6F4FED0	0x8B28120	0x341F590
MarketplaceAddOnSelect	.?AVMarketplaceAddOnSelect@@	0x630B9C8	0	0x6F77F30	0x8B41880	0x3556980
MarketplaceCarPacks	.?AVMarketplaceCarPacks@@	0x63018D8	0	0x6F74830	0x8B3EC78	0x351DD60
MarketplaceCarSelect	.?AVMarketplaceCarSelect@@	0x627D850	0	0x6F11400	0x8B05E08	0x3297300
MarketplacePackSelect	.?AVMarketplacePackSelect@@	0x627F380	0	0x6F11128	0x8B05DD8	0x3297380
MarketplacePurchaseOptions	.?AVMarketplacePurchaseOptions@@	0x62C0500	0	0x6F41B98	0x8B21D58	0x33C9C60
MatchmakingInProgressPromptPopup	.?AVMatchmakingInProgressPromptPopup@@	0x62C7458	0	0x6F46D50	0x8B242C0	0x33F8FC0
MessageCenter	.?AVMessageCenter@@	0x6359778	0	0x6FA7C90	0x8B3DD58	0x36900F0
MessageCenterAuctionHouse	.?AVMessageCenterAuctionHouse@@	0x635C3D8	0	0x6FA6158	0x8B5B610	0x3690140
MessageCenterBucketList	.?AVMessageCenterBucketList@@	0x6302360	0	0x6F70B10	0x8B3DD28	0x351DDE0
MessageCenterBusinessEarnings	.?AVMessageCenterBusinessEarnings@@	0x635D748	0	0x6FA67D8	0x8B5B678	0x3690240
MessageCenterCommunityNews	.?AVMessageCenterCommunityNews@@	0x635BA20	0	0x6FA6498	0x8B5B640	0x3690290
MessageCenterOnlineAdventureReward	.?AVMessageCenterOnlineAdventureReward@@	0x635CD90	0	0x6FA6B18	0x8B5B6B0	0x36902E0
MessageCenterRivals	.?AVMessageCenterRivals@@	0x635B068	0	0x6FA6E58	0x8B5B6F0	0x3690330
MessageCenterSocial	.?AVMessageCenterSocial@@	0x635A6B0	0	0x6FA5E20	0x8B5B5E0	0x36903A0
MinorObjectivesScene	.?AVMinorObjectivesScene@@	0x6302D68	0	0x6F71018	0x8B3DDC0	0x351DEB0
